#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a;a;a;a;;a;;;;;;;;;x
b_a_adj;an;;er;;;;;;;;;;;x
b_ad;ad;ad;ad;;ad;;;;;;;;;x
b_ad_adj;adian;;ader;;;;;;;;;;;x
b_adrar;Adrar;Adrar;Adrar;;Adrar;;;;;;;;;x
b_adrar_adj;Adrarian;;adrarer;;;;;;;;;;;x
b_ain_benian;Aïn Benian;Aïn Benian;Aïn Benian;;Aïn Benian;;;;;;;;;x
b_ain_benian_adj;Aïn Benianian;;Aïn Benianer;;;;;;;;;;;x
b_ain_sefra;Aïn Sefra;Aïn Sefra;Aïn Sefra;;Aïn Sefra;;;;;;;;;x
b_ain_sefra_adj;Aïn Sefran;;Aïn Sefrer;;;;;;;;;;;x
b_ain_tedeles;Aïn Tédelès;Aïn Tédelès;Aïn Tédelès;;Aïn Tédelès;;;;;;;;;x
b_ain_tedeles_adj;Aïn Tédelèsian;;Aïn Tédelèser;;;;;;;;;;;x
b_ain_temouchent;Aïn Témouchent;Aïn Témouchent;Aïn Témouchent;;Aïn Témouchent;;;;;;;;;x
b_ain_temouchent_adj;Aïn Témouchentian;;Aïn Témouchenter;;;;;;;;;;;x
b_akbou;Akbou;Akbou;Akbou;;Akbou;;;;;;;;;x
b_akbou_adj;Akbian;;akber;;;;;;;;;;;x
b_algeirs;Algeirs;Algeirs;Algeirs;;Algeirs;;;;;;;;;x
b_algeirs_adj;Algeirsian;;algeirser;;;;;;;;;;;x
b_amstetten;Amstetten;Amstetten;Amstetten;;Amstetten;;;;;;;;;x
b_amstetten_adj;Amstettenian;;amstettener;;;;;;;;;;;x
b_annaba;Annaba;Annaba;Annaba;;Annaba;;;;;;;;;x
b_annaba_adj;Annaban;;annaber;;;;;;;;;;;x
b_aqaxc;aqaxc;aqaxc;aqaxc;;aqaxc;;;;;;;;;x
b_aqaxc_adj;aqaxcian;;aqaxcer;;;;;;;;;;;x
b_arthod;arthod;arthod;arthod;;arthod;;;;;;;;;x
b_arthod_adj;arthodian;;arthoder;;;;;;;;;;;x
b_arzew;Arzew;Arzew;Arzew;;Arzew;;;;;;;;;x
b_arzew_adj;Arzewian;;arzewer;;;;;;;;;;;x
b_asdaw;asdaw;asdaw;asdaw;;asdaw;;;;;;;;;x
b_asdaw_adj;asdawian;;asdawer;;;;;;;;;;;x
b_asxzxxx;asxzxxx;asxzxxx;asxzxxx;;asxzxxx;;;;;;;;;x
b_asxzxxx_adj;asxzxxxian;;asxzxxxer;;;;;;;;;;;x
b_awda;awda;awda;awda;;awda;;;;;;;;;x
b_awda_adj;awdan;;awder;;;;;;;;;;;x
b_awjdiua;awjdiua;awjdiua;awjdiua;;awjdiua;;;;;;;;;x
b_awjdiua_adj;awjdiuan;;awjder;;;;;;;;;;;x
b_bad;bad;bad;bad;;bad;;;;;;;;;x
b_bad_adj;badian;;bader;;;;;;;;;;;x
